  0.0000  0.0000  0.0000  0.0000  0.0000
  0.0100  0.0852  0.0851  0.0851  0.0851
  0.0200  0.1613  0.1611  0.1611  0.1611
  0.0300  0.2292  0.2290  0.2290  0.2290
  0.0400  0.2897  0.2894  0.2894  0.2894
  0.0500  0.3435  0.3432  0.3432  0.3432
  0.0600  0.3912  0.3909  0.3909  0.3909
  0.0700  0.4334  0.4331  0.4331  0.4331
  0.0800  0.4707  0.4703  0.4703  0.4703
  0.0900  0.5034  0.5030  0.5030  0.5030
  0.1000  0.5321  0.5317  0.5317  0.5317
  0.1100  0.5571  0.5567  0.5567  0.5567
  0.1200  0.5788  0.5783  0.5783  0.5783
  0.1300  0.5975  0.5970  0.5970  0.5970
  0.1400  0.6134  0.6129  0.6129  0.6129
  0.1500  0.6269  0.6264  0.6264  0.6264
  0.1600  0.6381  0.6376  0.6376  0.6376
  0.1700  0.6473  0.6468  0.6468  0.6468
  0.1800  0.6547  0.6542  0.6542  0.6542
  0.1900  0.6604  0.6599  0.6599  0.6599
  0.2000  0.6647  0.6641  0.6641  0.6641
  0.2100  0.6676  0.6670  0.6670  0.6670
  0.2200  0.6692  0.6686  0.6686  0.6686
  0.2300  0.6698  0.6692  0.6692  0.6692
  0.2400  0.6693  0.6687  0.6687  0.6687
  0.2500  0.6679  0.6674  0.6674  0.6674
  0.2600  0.6657  0.6652  0.6652  0.6652
  0.2700  0.6628  0.6623  0.6623  0.6623
  0.2800  0.6592  0.6587  0.6587  0.6587
  0.2900  0.6550  0.6544  0.6544  0.6544
  0.3000  0.6502  0.6497  0.6497  0.6497
  0.3100  0.6450  0.6444  0.6444  0.6444
  0.3200  0.6393  0.6387  0.6387  0.6387
  0.3300  0.6331  0.6326  0.6326  0.6326
  0.3400  0.6266  0.6261  0.6261  0.6261
  0.3500  0.6198  0.6193  0.6193  0.6193
  0.3600  0.6127  0.6122  0.6122  0.6122
  0.3700  0.6053  0.6048  0.6048  0.6048
  0.3800  0.5976  0.5971  0.5971  0.5971
  0.3900  0.5898  0.5893  0.5893  0.5893
  0.4000  0.5817  0.5812  0.5812  0.5812
  0.4100  0.5734  0.5730  0.5730  0.5730
  0.4200  0.5650  0.5646  0.5646  0.5646
  0.4300  0.5565  0.5560  0.5560  0.5560
  0.4400  0.5477  0.5473  0.5473  0.5473
  0.4500  0.5389  0.5385  0.5385  0.5385
  0.4600  0.5300  0.5295  0.5295  0.5295
  0.4700  0.5209  0.5205  0.5205  0.5205
  0.4800  0.5118  0.5114  0.5114  0.5114
  0.4900  0.5026  0.5022  0.5022  0.5022
  0.5000  0.4933  0.4929  0.4929  0.4929
  0.5100  0.4839  0.4835  0.4835  0.4835
  0.5200  0.4745  0.4741  0.4741  0.4741
  0.5300  0.4650  0.4646  0.4646  0.4646
  0.5400  0.4555  0.4551  0.4551  0.4551
  0.5500  0.4459  0.4456  0.4456  0.4456
  0.5600  0.4363  0.4360  0.4360  0.4360
  0.5700  0.4267  0.4263  0.4263  0.4263
  0.5800  0.4170  0.4167  0.4167  0.4167
  0.5900  0.4073  0.4069  0.4069  0.4069
  0.6000  0.3975  0.3972  0.3972  0.3972
  0.6100  0.3878  0.3875  0.3875  0.3875
  0.6200  0.3780  0.3777  0.3777  0.3777
  0.6300  0.3682  0.3679  0.3679  0.3679
  0.6400  0.3584  0.3581  0.3581  0.3581
  0.6500  0.3485  0.3482  0.3482  0.3482
  0.6600  0.3387  0.3384  0.3384  0.3384
  0.6700  0.3288  0.3285  0.3285  0.3285
  0.6800  0.3189  0.3187  0.3187  0.3187
  0.6900  0.3090  0.3088  0.3088  0.3088
  0.7000  0.2991  0.2989  0.2989  0.2989
  0.7100  0.2892  0.2890  0.2890  0.2890
  0.7200  0.2793  0.2791  0.2791  0.2791
  0.7300  0.2694  0.2691  0.2691  0.2691
  0.7400  0.2594  0.2592  0.2592  0.2592
  0.7500  0.2495  0.2493  0.2493  0.2493
  0.7600  0.2395  0.2393  0.2393  0.2393
  0.7700  0.2296  0.2294  0.2294  0.2294
  0.7800  0.2196  0.2194  0.2194  0.2194
  0.7900  0.2097  0.2095  0.2095  0.2095
  0.8000  0.1997  0.1995  0.1995  0.1995
  0.8100  0.1897  0.1896  0.1896  0.1896
  0.8200  0.1798  0.1796  0.1796  0.1796
  0.8300  0.1698  0.1696  0.1696  0.1696
  0.8400  0.1598  0.1597  0.1597  0.1597
  0.8500  0.1498  0.1497  0.1497  0.1497
  0.8600  0.1399  0.1397  0.1397  0.1397
  0.8700  0.1299  0.1298  0.1298  0.1298
  0.8800  0.1199  0.1198  0.1198  0.1198
  0.8900  0.1099  0.1098  0.1098  0.1098
  0.9000  0.0999  0.0998  0.0998  0.0998
  0.9100  0.0899  0.0899  0.0899  0.0899
  0.9200  0.0799  0.0799  0.0799  0.0799
  0.9300  0.0700  0.0699  0.0699  0.0699
  0.9400  0.0600  0.0599  0.0599  0.0599
  0.9500  0.0500  0.0499  0.0499  0.0499
  0.9600  0.0400  0.0399  0.0399  0.0399
  0.9700  0.0300  0.0300  0.0300  0.0300
  0.9800  0.0200  0.0200  0.0200  0.0200
  0.9900  0.0100  0.0100  0.0100  0.0100
  1.0000  0.0000  0.0000  0.0000  0.0000
